a,n_min,n_max
0.570743941976559,0.38762791324159507,0.6006777855335671
0.5720380596236178,0.4032810056170772,0.5877438550897037
0.5733321772706766,0.41672280775725334,0.5793681708647331
0.5746262949177354,0.42852121349828726,0.5686861375833244
0.5759204125647943,0.43877418174942795,0.5592424151833639
0.5772145302118531,0.4474901622100427,0.5511762423967529
0.5785086478589119,0.45496611630267036,0.5440499139322093
0.5798027655059708,0.4614783910841648,0.5378658964574887
0.5810968831530295,0.4669945928393935,0.5326170267156769
0.5823910008000884,0.4716691970645641,0.5280292804669036
0.5836851184471472,0.47512806699259214,0.5240485672640036
0.5849792360942061,0.47872572199812896,0.5206236513051631
0.5862733537412649,0.4818136246914558,0.5177359097610321
0.5875674713883237,0.4844580001268907,0.5152398474515048
0.5888615890353825,0.4867191994777011,0.5130876784080429
0.5901557066824413,0.48861761168669304,0.5112353671019693
0.5914498243295002,0.49024534956963767,0.5096432223989562
0.592743941976559,0.49164102674402566,0.5082759907154007
