t,n,p,q,r
0.0,0.8170457532980037,0.016736128193147463,0.7163075486670228,0.7835301265126073
0.023055882770886958,0.8170426012219555,0.01690423256604684,0.7171726697201457,0.7839600615524028
0.046111765541773916,0.817033114866889,0.01707470436968197,0.7180321721125611,0.7843844001523158
0.06916764831266087,0.8170172484647453,0.017247576635514395,0.7188860560670938,0.7848031325537534
0.09222353108354783,0.8169949554735513,0.01742288288071257,0.7197343216755266,0.7852162485312131
0.1152794138544348,0.8169661885728514,0.01760065711449536,0.7205769688942671,0.785623737388314
0.13833529662532174,0.8169308996591796,0.017780933844540128,0.7214139975400171,0.7860255879538229
0.1613911793962087,0.8168890398415751,0.017963748083455192,0.7222454072854483,0.786421788577671
0.18444706216709567,0.8168405594371464,0.0181491353553164,0.7230711976548817,0.7868123271269666
0.20750294493798263,0.8167854079666875,0.018337131702267525,0.723891368019971,0.7871971909820014
0.2305588277088696,0.8167235341503511,0.018527773691184177,0.7247059175953906,0.7875763670322519
0.25361471047975653,0.8166548859033831,0.01872109842040083,0.7255148454345269,0.7879498416723778
0.27667059325064347,0.8165794103319219,0.018917143526500625,0.7263181504251744,0.7883176007982168
0.29972647602153046,0.8164970537288703,0.019115947191167333,0.7271158312852352,0.7886796298027776
0.3227823587924174,0.8164077615698406,0.019317548148099165,0.7279078865584214,0.7890359135722318
0.3458382415633044,0.816311478509182,0.019521985689983725,0.7286943146099633,0.7893864364819054
0.36889412433419133,0.8162081483760917,0.01972929967553354,0.7294751136223189,0.7897311823922722
0.39195000710507827,0.8160977141708194,0.019939530536581544,0.7302502815908888,0.790070134644948
0.41500588987596526,0.8159801180609655,0.020152719285235734,0.7310198163197336,0.7904032760586893
0.4380617726468522,0.8158553013778824,0.02036890752109227,0.7317837154172958,0.7907305889253955
0.4611176554177392,0.815723204613184,0.020588137438506158,0.7325419762921245,0.7910520550061179
0.48417353818862613,0.8155837674153671,0.02081045183391864,0.7332945961486044,0.7913676555270748
0.5072294209595131,0.8154369285865535,0.02103589411324031,0.7340415719826883,0.7916773711756762
0.5302853037304001,0.8152826260793566,0.021264508299288942,0.7347829005776333,0.7919811820965574
0.5533411865012869,0.8151207969938814,0.021496339039280946,0.7355185784997412,0.7922790678876253
0.5763970692721739,0.8149513775748605,0.02173143161237526,0.7362486020941029,0.7925710075961167
0.5994529520430609,0.8147743032089375,0.02196983193726846,0.7369729674803461,0.7928569797146721
0.6225088348139479,0.8145895084221001,0.022211586579839775,0.7376916705483885,0.7931369621774256
0.6455647175848348,0.8143969268772732,0.02245674276084462,0.7384047069541945,0.7934109323561134
0.6686206003557218,0.8141964913720762,0.022705348363655155,0.7391120721155373,0.7936788670562019
0.6916764831266088,0.8139881338367547,0.022957451942046295,0.7398137612077652,0.7939407425130387
0.7147323658974957,0.8137717853322916,0.023213102728025646,0.7405097691595732,0.794196534388026
0.7377882486683827,0.8135473760487053,0.023472350639705458,0.7412000906487801,0.7944462177648219
0.7608441314392697,0.8133148353035453,0.023735246289214928,0.7418847200981107,0.7946897671455687
0.7839000142101565,0.8130740915405894,0.02400184099065086,0.7425636516709848,0.7949271564471517
0.8069558969810435,0.812825072328753,0.024272186768064665,0.7432368792673117,0.795158358997491
0.8300117797519305,0.8125677043612176,0.02454633636348364,0.7439043965192913,0.7953833475318681
0.8530676625228174,0.8123019134547881,0.024824343244964246,0.7445661967872225,0.7956020941892898
0.8761235452937044,0.8120276245494852,0.0251062616146751,0.7452222731553192,0.7958145705088921
0.8991794280645914,0.811744761708384,0.025392146417007246,0.7458726184275335,0.7960207474263867
0.9222353108354784,0.8114532481177058,0.025682053346709102,0.7465172251233875,0.7962205952705522
0.9452911936063653,0.811153006087173,0.025976038857043526,0.7471560854738136,0.7964140837597738
0.9683470763772523,0.810843957050636,0.026274160167964092,0.747789191417005,0.7966011819986332
0.9914029591481393,0.810526021566982,0.026576475274307745,0.7484165345942746,0.7967818584745521
1.0144588419190261,0.810199119321333,0.026883042954000798,0.7490381063459256,0.7969560810544927
1.037514724689913,0.8098631691265464,0.02719392277627505,0.7496538977071324,0.7971238169817175
1.0605706074608001,0.8095180889250237,0.02750917510989077,0.7502638994038334,0.7972850328726119
1.083626490231687,0.8091637957908413,0.0278288611313631,0.7508681018486361,0.7974396947135722
1.1066823730025739,0.808800205932209,0.02815304283318827,0.7514664951367354,0.7975877678579647
1.129738255773461,0.8084272346942716,0.028481783032065944,0.7520590690418455,0.7977292170231559
1.1527941385443479,0.8080447965622591,0.0288151453771137,0.7526458130121465,0.7978640062876193
1.175850021315235,0.8076528051649992,0.029153194358069824,0.7532267161662465,0.7979920990881225
1.1989059040861219,0.8072511732788014,0.02949599531347995,0.7538017672891594,0.7981134582169978
1.2219617868570087,0.8068398128317236,0.02984361443886346,0.7543709548283007,0.7982280458194991
1.2450176696278958,0.8064186349082331,0.030196118794854912,0.7549342668895009,0.7983358233912519
1.2680735523987827,0.8059875497542708,0.03055357631531589,0.7554916912330375,0.7984367517757959
1.2911294351696696,0.8055464667827319,0.03091605581541246,0.7560432152696879,0.7985307911622291
1.3141853179405567,0.8050952945793743,0.031283626999653064,0.7565888260568027,0.7986179010829537
1.3372412007114436,0.8046339409091643,0.03165636046988168,0.7571285102944013,0.7986980404115298
1.3602970834823305,0.8041623127230721,0.032034327733220846,0.7576622543212912,0.7987711673606412
1.3833529662532176,0.8036803161653305,0.032417601209958895,0.7581900441112108,0.7988372394801776
1.4064088490241045,0.8031878565811645,0.032806254241375545,0.7587118652689988,0.7988962136554367
1.4294647317949913,0.8026848385250077,0.03320036109749994,0.75922770302679,0.7989480461054526
1.4525206145658784,0.8021711657692141,0.03359999698479482,0.7597375422402394,0.7989926923814533
1.4755764973367653,0.8016467413132802,0.03400523805376032,0.7602413673847758,0.7990301073654541
1.4986323801076522,0.8011114673935862,0.034416161406450964,0.7607391625518859,0.7990602452689897
1.5216882628785393,0.8005652454936713,0.03483284510389871,0.761230911445432,0.799083059631991
1.5447441456494262,0.8000079763550529,0.03525536817343508,0.7617165973780016,0.7990985033218128
1.567800028420313,0.7994395599886044,0.03568381061590504,0.7621962032672941,0.7991065285324146
1.5908559111912002,0.7988598956864996,0.036118253412764964,0.762669711632543,0.7991070867837029
1.613911793962087,0.7982688820347419,0.03655877853305694,0.7631371045909783,0.7991001289210381
1.636967676732974,0.7976664169262841,0.037005468940251265,0.7635983638543264,0.7990856051149127
1.660023559503861,0.7970523975747564,0.03745840859894891,0.764053470725355,0.7990634648608053
1.683079442274748,0.7964267205288107,0.03791768248143525,0.7645024060944591,0.7990336569792171
1.7061353250456348,0.7957892816870962,0.0383833765740763,0.764945150436294,0.7989961296158961
1.729191207816522,0.7951399763138772,0.038855577883548306,0.7653816838064547,0.7989508302422533
1.7522470905874088,0.7944786990553055,0.03933437444289129,0.7658119858382053,0.7988977056559805
1.7753029733582957,0.7938053439563587,0.039819855317376925,0.7662360357392589,0.7988367019818706
1.7983588561291828,0.7931198044784578,0.040312110610180696,0.7666538122886107,0.7987677646728506
1.8214147389000697,0.7924219735177747,0.040811231467848215,0.7670652938334275,0.7986908385112318
1.8444706216709568,0.7917117434242422,0.041317310085545095,0.7674704582859924,0.7986058676101823
1.8675265044418436,0.7909890060212778,0.04183043971207946,0.7678692831207116,0.79851279541543
1.8905823872127305,0.7902536526262317,0.04235071465468619,0.7682617453711809,0.7984115647072011
1.9136382699836176,0.7895055740715741,0.04287823028356116,0.7686478216273173,0.7983021176024007
1.9366941527545045,0.7887446607268274,0.04341308303613387,0.7690274880325568,0.7981843955570419
1.9597500355253914,0.78797080252126,0.04395537042106642,0.7694007202811209,0.7980583393689307
1.9828059182962785,0.787183888967348,0.04450519102196627,0.7697674936153538,0.7979238891806111
2.0058618010671654,0.786383809185019,0.04506264450080013,0.770127782823134,0.7977809844825798
2.0289176838380523,0.7855704519266851,0.04562783160099594,0.7704815622353619,0.7976295641167755
2.051973566608939,0.7847437056030785,0.046200854150219496,0.7708288057235262,0.7974695662803487
2.075029449379826,0.7839034583098965,0.04678181506281188,0.7711694866973507,0.7973009285297208
2.0980853321507134,0.7830495978552687,0.04737081834187377,0.7715035781025276,0.7971235877849377
2.1211412149216002,0.782182011788052,0.047967969080981984,0.7718310524185348,0.7969374803343261
2.144197097692487,0.7813005874269657,0.048573373465523664,0.7721518816565455,0.7967425418394565
2.167252980463374,0.7804052118905734,0.04918713877363269,0.7724660373574284,0.7965387073404242
2.190308863234261,0.7794957721281207,0.049809373376712984,0.772773490589844,0.7963259112614506
2.2133647460051478,0.7785721549512356,0.05044018673953275,0.7730742119484404,0.7961040874168147
2.236420628776035,0.7776342470665002,0.05107968941987336,0.7733681715521482,0.7958731690171215
2.259476511546922,0.7766819351089008,0.05172799306771622,0.773655339042582,0.795633088675911
2.282532394317809,0.7757151056761614,0.05238521042395073,0.773935683582548,0.7953837784166206
2.3055882770886957,0.7747336453639676,0.05305145531858583,0.7742091738546639,0.795125169679901
2.3286441598595826,0.7737374408020874,0.053726842668447385,0.7744757780600904,0.7948571933312989
2.35170004263047,0.7727263786913923,0.05441148847434324,0.7747354639173821,0.7945797796693076
2.374755925401357,0.7717003458417844,0.05510550981767746,0.7749881986614581,0.7942928584337969
2.3978118081722437,0.7706592292110325,0.05580902485649485,0.7752339490426955,0.7939963588148267
2.4208676909431306,0.7696029159445223,0.05652215282093633,0.7754726813261514,0.793690209461851
2.4439235737140175,0.7685312934159204,0.05724501400808548,0.7757043612909152,0.793374338493321
2.4669794564849044,0.7674442492687579,0.05797772977618639,0.7759289542295941,0.7930486735066907
2.4900353392557917,0.7663416714589316,0.05872042253821206,0.7761464249479371,0.7927131415888355
2.5130912220266786,0.7652234482981273,0.05947321575476256,0.7763567377646002,0.7923676693268871
2.5361471047975654,0.7640894684981606,0.06023623392627194,0.7765598565110559,0.7920121828194918
2.5592029875684523,0.7629396212162397,0.06100960258450185,0.7767557445316507,0.7916466076885007
2.582258870339339,0.7617737961011446,0.06179344828330023,0.7769443646838161,0.7912708690910957
2.605314753110226,0.7605918833403231,0.06258789858860248,0.7771256793384331,0.7908848917323574
2.6283706358811134,0.7593937737079001,0.06339308206765235,0.7772996503803584,0.7904885998782837
2.6514265186520003,0.758179358613595,0.06420912827741944,0.7774662392091117,0.7900819173692609
2.674482401422887,0.7569485301525457,0.06503616775218993,0.7776254067397318,0.7896647676339976
2.697538284193774,0.7557011811560302,0.0658743319903063,0.7777771134038022,0.7892370737039226
2.720594166964661,0.7544372052430829,0.0667237534400322,0.7779213191506514,0.7887987582280562
2.743650049735548,0.7531564968729957,0.06758456548451762,0.7780579834487326,0.7883497434883583
2.766705932506435,0.7518589513986972,0.06845690242583952,0.7781870652871842,0.7878899514155572
2.789761815277322,0.7505444651210017,0.06934089946809259,0.778308523177578,0.7874193036054682
2.812817698048209,0.7492129353437158,0.07023669269950464,0.7784223151558564,0.7869377213358023
2.835873580819096,0.7478642604295941,0.07114441907355054,0.7785283987844632,0.786445125583473
2.8589294635899827,0.7464983398571305,0.07206421638903852,0.7786267311546744,0.7859414370424028
2.8819853463608696,0.7451150742781737,0.07299622326914232,0.7787172688891282,0.785426576141837
2.905041229131757,0.7437143655763508,0.0739405791393523,0.7787999681445625,0.784900463065165
2.9280971119026438,0.742296116926287,0.07489742420431841,0.7788747846147612,0.7843630177692564
2.9511529946735306,0.7408602328536027,0.07586689942355772,0.7789416735337142,0.7838141600043128
2.9742088774444175,0.7394066192956735,0.07684914648599864,0.7790005896789952,0.7832538093342392
2.9972647602153044,0.737935183663133,0.07784430778333426,0.7790514873753608,0.7826818851575396
3.0203206429861917,0.7364458349021009,0.07885252638215652,0.7790943204985741,0.782098306728737
3.0433765257570786,0.7349384835571151,0.07987394599484293,0.7791290424794582,0.7815029931803221
3.0664324085279655,0.7334130418347473,0.0809087109491676,0.7791556063081833,0.7808958635452318
3.0894882912988524,0.73186942366788,0.08195696615660754,0.7791739645387883,0.7802768367798597
3.1125441740697393,0.73030754478062,0.08301885707931582,0.7791840692939458,0.7796458317876009
3.135600056840626,0.7287273227538263,0.0840945296957325,0.7791858722699693,0.7790027674429303
3.1586559396115135,0.7271286770912245,0.08518413046480441,0.7791793247420697,0.7783475626160166
3.1817118223824004,0.7255115292860822,0.08628780628878455,0.7791643775698631,0.7776801361978734
3.2047677051532872,0.7238758028884178,0.08740570447458232,0.779140981203134,0.7770004071260455
3.227823587924174,0.722221423572713,0.0885379726936351,0.7791090856878579,0.7763082944108308
3.250879470695061,0.7205483192060994,0.08968475894027216,0.7790686406724858,0.7756037171620389
3.273935353465948,0.7188564199169888,0.09084621148854194,0.7790195954144957,0.7748865946162826
3.296991236236835,0.7171456581641132,0.09202247884747346,0.7789618987872126,0.774156846164803
3.320047119007722,0.7154159688059444,0.09321370971474296,0.778895499286902,0.773414391381826
3.343103001778609,0.7136672891704544,0.09442005292871734,0.77882034504014,0.7726591500534477
3.366158884549496,0.7118995591251867,0.09564165741884507,0.778736383811461,0.7718910422070455
3.3892147673203827,0.7101127211475967,0.09687867215436685,0.7786435630112906,0.771109988141214
3.4122706500912696,0.7083067203956285,0.0981312460913174,0.7785418297041613,0.7703159084562189
3.435326532862157,0.7064815047784857,0.0993995281177908,0.7784311306172194,0.7695087240849685
3.458382415633044,0.7046370250275595,0.10068366699744132,0.7783114121490211,0.7686883563244964
3.4814382984039307,0.702773234767473,0.10198381131119329,0.7781826203786248,0.7678547268679503
3.5044941811748176,0.7008900905871986,0.10330010939713255,0.7780447010749791,0.7670077578370834
3.5275500639457045,0.6989875521112093,0.1046327092885535,0.7778975997066108,0.7661473718152404
3.5506059467165914,0.6970655820706175,0.10598175865013576,0.7777412614516147,0.7652734918808344
3.5736618294874787,0.6951241463742597,0.10734740471222542,0.7775756312079486,0.7643860416413053
3.5967177122583656,0.6931632141796797,0.10872979420319591,0.7774006536040337,0.7634849452675551
3.6197735950292524,0.6911827579639671,0.11012907327986479,0.7772162730096648,0.7625701275288498
3.6428294778001393,0.6891827535944012,0.11154538745594304,0.7770224335472307,0.7616415138281827
3.665885360571026,0.6871631803988556,0.11297888152849432,0.7768190791032473,0.7606990302380874
3.6889412433419135,0.6851240212359141,0.11442969950238249,0.7766061533402054,0.7597426035368935
3.7119971261128004,0.6830652625646488,0.1158979845126868,0.7763835997087339,0.7587721612454145
3.7350530088836873,0.6809868945140104,0.11738387874506481,0.7761513614600803,0.7577876316640572
3.758108891654574,0.6788889109517812,0.11888752335404396,0.7759093816589105,0.7567889439103433
3.781164774425461,0.676771309553039,0.12040905837922447,0.7756576031964275,0.7557760279568309
3.804220657196348,0.6746340918680811,0.12194862265937664,0.7753959688038111,0.7547488146694232
3.8272765399672353,0.6724772633897553,0.12350635374441733,0.7751244210659796,0.7537072358460555
3.850332422738122,0.6703008336201457,0.12508238780525116,0.7748429024356726,0.7526512242557435
3.873388305509009,0.6681048161365595,0.1266768595414643,0.7745513552478569,0.7515807136779833
3.896444188279896,0.6658892286567628,0.12828990208685878,0.7742497217344553,0.7504956389424865
3.919500071050783,0.6636540931034091,0.1299216469128179,0.7739379440393982,0.7493959359692381
3.9425559538216697,0.6613994356676072,0.1315722237294942,0.7736159642339975,0.7482815418088614
3.965611836592557,0.6591252868715739,0.1332417603848136,0.7732837243326437,0.747152394683274
3.988667719363444,0.6568316816303161,0.1349303827612905,0.7729411663088245,0.7460084340266211
