function,a_H,1/a_H,omega_0,G_4,ell_1(0),criticality
1-n,1.53979781174572,0.6494359144894918,0.5754819626288791,-0.9617961341632891,-0.8356440311088769,supercritical
1-n^2,2.5245558338319247,0.3961092825117435,0.7578063673993194,-2.3950979135426653,-1.580283576767962,supercritical
1-n^3,4.299828589618002,0.2325674103415458,0.8789371938649314,-4.625084613854548,-2.6310666143941206,supercritical
(1-n)^2,0.5957439419765588,1.678573510428324,0.323899435630521,-0.1524562002217693,-0.23534496119912873,supercritical
