time,N,P,Q,R
0.0,25.0,1.0,20.0,20.0
0.02,25.019612103867733,1.000000000215823,20.00003236462784,20.018002896624917
0.04,25.039229817251783,1.0000000017251713,20.000129317276215,20.03601158607219
0.06,25.058853118660082,1.0000000058176917,20.000290646661714,20.054026067644497
0.08,25.078481986489955,1.000000013778812,20.00051614225754,20.072046340569592
0.1,25.098116399028168,1.000000026889758,20.00080559429052,20.090072404000175
0.12,25.117756334450966,1.000000046427567,20.001158793738128,20.108104257013764
0.14,25.137401770824116,1.0000000736651036,20.001575532325514,20.12614189861257
0.16,25.15705268610296,1.0000001098710751,20.002055602522553,20.144185327723367
0.18,25.176709058132456,1.0000001563100458,20.002598797540887,20.162234543197375
0.2,25.196370864647218,1.0000002142424518,20.003204911330997,20.180289543810122
0.22,25.21603808327158,1.0000002849246168,20.00387373857927,20.198350328261334
0.24,25.235710691519632,1.0000003696087658,20.004605074705083,20.2164168951748
0.26,25.255388666795273,1.0000004695430411,20.005398715857904,20.234489243098245
0.28,25.275071986392266,1.000000585971516,20.00625445891438,20.252567370503233
0.3,25.29476062749428,1.0000007201342098,20.007172101475465,20.27065127578501
0.32,25.314454567174952,1.000000873267103,20.008151441863525,20.28874095726241
0.34,25.334153782397934,1.0000010466021514,20.009192279119492,20.306836413177713
0.36,25.353858250016945,1.0000012413673007,20.010294412999993,20.32493764169655
0.38,25.37356794677583,1.0000014587865014,20.0114576439745,20.343044640907763
0.4,25.393282849308616,1.0000017000797226,20.0126817732225,20.361157408823292
0.42,25.41300293413957,1.0000019664629671,20.01396660263067,20.379275943378055
0.44,25.432728177683245,1.0000022591482858,20.01531193479005,20.39740024242984
0.46,25.452458556244554,1.0000025793437917,20.01671757299323,20.415530303759173
0.48,25.47219404601882,1.0000029282536742,20.018183321231568,20.43366612506922
0.5,25.491934623091833,1.000003307078214,20.01970898419239,20.45180770398565
0.52,25.51168026343992,1.0000037170137963,20.02129436725621,20.469955038056536
0.54,25.531430942930005,1.0000041592529263,20.022939276493965,20.488108124752237
0.56,25.55118663731966,1.000004634984242,20.02464351866424,20.506266961465283
0.58,25.57094732225718,1.0000051453925294,20.026406901210546,20.524431545510257
0.6,25.59071297328165,1.0000056916587359,20.028229232258546,20.54260187412369
0.62,25.610483565823003,1.0000062749599847,20.030110320613346,20.56077794446395
0.64,25.630259075202083,1.0000068964695885,20.03204997575676,20.57895975361112
0.66,25.650039476630727,1.0000075573570635,20.034048007844603,20.5971472985669
0.68,25.669824745211812,1.0000082587881434,20.036104227703984,20.61534057625449
0.7000000000000001,25.689614855939343,1.0000090019247934,20.03821844683061,20.633539583518484
0.72,25.709409783698515,1.0000097879252237,20.0403904773861,20.651744317124756
0.74,25.72920950326578,1.000010617943903,20.042620132195324,20.669954773760356
0.76,25.74901398930892,1.0000114931315733,20.044907224743714,20.688170950033406
0.78,25.768823216387133,1.0000124146352625,20.047251569174616,20.706392842472987
0.8,25.78863715895109,1.0000133835982985,20.04965298028665,20.724620447529038
0.8200000000000001,25.80845579134301,1.0000144011603227,20.052111273531054,20.742853761572242
0.84,25.828279087796748,1.0000154684573035,20.054626265009066,20.761092780893932
0.86,25.848107022437855,1.00001658662155,20.0571977714693,20.779337501705985
0.88,25.867939569283674,1.0000177567817254,20.059825610305133,20.797587920140707
0.9,25.8877767022434,1.0000189800628605,20.0625095995521,20.815844032250748
0.92,25.907618395118174,1.0000202575863668,20.065249557885306,20.834105834008984
0.9400000000000001,25.92746462160115,1.00002159047005,20.068045304616827,20.852373321308423
0.96,25.94731535527758,1.0000229798281235,20.070896659693158,20.870646489962105
0.98,25.96717056962491,1.0000244267712215,20.073803443692626,20.888925335703
1.0,25.987030238012835,1.000025932406412,20.07676547782283,20.90720985418391
1.02,26.00689433370341,1.0000274978372103,20.079782583918107,20.925500040977365
1.04,26.02676282985112,1.0000291241635924,20.082854584436976,20.94379589157553
1.06,26.04663569950296,1.000030812482007,20.085981302459622,20.962097401390103
