parameter,label,factor,b,F,G,H,S,a_hat,a_H_dim,tau_mode_H,tau_mean_H,omega_0_dim,T_0,N_star,P_star,G_4,ell_1,a_H_ratio,tau_ratio,omega_ratio,P_star_ratio
K,$K$,0.888,0.25533735046905354,0.9348028374554437,-0.5106747009381071,-2.0,-0.0,1.725215131643837,0.2669649651159623,3.74580986522193,7.49161973044386,0.05094388868794175,123.33540821093219,20.0,1.4031291391969243,-1.9167705755349884,-2.9111129598575047,0.755651321550633,1.3233616768484593,0.9716914356648324,0.9854664889095046
K,$K$,0.892,0.2541923399288336,0.9353862543215044,-0.5083846798576672,-2.0,-0.0,1.7442115662285749,0.26990453039290835,3.705013763734418,7.410027527468836,0.05101223127027875,123.17017214732887,20.0,1.4040048417218514,-1.9207346133103937,-2.913225209584781,0.763971838009951,1.3089487730396872,0.9729949855833488,0.9860815253081235
K,$K$,0.896,0.25305755269700847,0.9359618750230008,-0.5061151053940169,-2.0,-0.0,1.7632752188975582,0.27285449719786486,3.6649570018808735,7.329914003761747,0.05107917887141589,123.00873753269518,20.0,1.4048688422864977,-1.9245764977143949,-2.915226395235544,0.7723217962665619,1.294797071420287,0.974271927967189,0.9866883430122625
K,$K$,0.9,0.2519328524627995,0.9365298378499574,-0.503865704925599,-2.0,-0.0,1.782406273555478,0.27581489398879533,3.6256200147067617,7.251240029413523,0.05114476711651478,122.85099065688637,20.0,1.405721348462723,-1.9283001427441333,-2.9171210058389745,0.7807012768714764,1.2808996598639173,0.9755229423220857,0.9872870878068715
K,$K$,0.904,0.25081810532800836,0.9370902780396682,-0.5016362106560167,-2.0,-0.0,1.8016049121660733,0.27878574892331465,3.5869839253335334,7.173967850667067,0.051209030557589776,122.69682200121918,20.0,1.4065625632402696,-1.9319093285058202,-2.91891334366091,0.7891103595255603,1.2672498693354295,0.9767486876848206,0.9878779022587203
K,$K$,0.908,0.24971317975387616,0.9376433278572083,-0.4994263595077523,-2.0,-0.0,1.8208713147004436,0.2817670898506907,3.5490305149898917,7.0980610299797835,0.05127200271002316,122.54612605470327,20.0,1.4073926851476126,-1.935407705992187,-2.9206075325569594,0.7975491230568953,1.2538412633031788,0.977949803319705,0.9884609258012749
K,$K$,0.912,0.24861794650934166,0.9381891166734782,-0.4972358930186833,-2.0,-0.0,1.8402056590947995,0.2847589443053065,3.5117421945764846,7.023484389152969,0.05133371608777098,122.39880113951858,20.0,1.4082119083691,-1.9387988016905624,-2.9222075259175924,0.8060176454022733,1.2406676276930795,0.9791269093900883,0.9890362948169696
K,$K$,0.916,0.24753227862065455,0.9387277710408667,-0.4950645572413091,-2.0,-0.0,1.8596081212129891,0.2877613395008616,3.4751019776824674,6.950203955364935,0.051394202237248506,122.2547492453493,20.0,1.4090204228585255,-1.9420860220269602,-2.923717114230345,0.814516003590783,1.2277229613555942,0.9802806076046804,0.989604142716973
K,$K$,0.92,0.24645605132230383,0.9392594147666179,-0.49291210264460766,-2.0,-0.0,1.8790788748156373,0.29077430232559615,3.439093454965097,6.878186909930194,0.05145349176997933,122.1138758719875,20.0,1.4098184144492476,-1.9452726576512949,-2.9251399322772844,0.8230442737302923,1.2150014670142706,0.9814114818402929,0.9901646000185286
K,$K$,0.924,0.2453891420092203,0.9397841689839788,-0.4907782840184406,-2.0,-0.0,1.8986180915345165,0.2937978593383257,3.4037007698154826,6.807401539630965,0.051511614394041595,121.97608987976834,20.0,1.410606064960985,-1.9483618875688866,-2.9264794659876405,0.8316025309962236,1.2024975426686637,0.9825200987416376,0.9907177944199604
