key,label,normalized_time,n,p,q,r
theta_1,$1-n$,0.0,0.7320597909715206,0.13397010451423888,0.6570415275859784,0.7052255969217747
theta_1,$1-n$,0.0016666666666576636,0.7320482410795719,0.13479081104731733,0.6583834791323432,0.7059670764670861
theta_1,$1-n$,0.003333333333315327,0.7320135837851272,0.13562354861228026,0.6597085428753162,0.7066874246159396
theta_1,$1-n$,0.0049999999999729905,0.7319558079132579,0.1364683882503487,0.6610166007765811,0.7073865866037218
theta_1,$1-n$,0.006666666666630654,0.731874902625317,0.13732540102070398,0.662307536563142,0.7080645088751447
theta_1,$1-n$,0.008333333333366605,0.7317708574192552,0.13819465796084934,0.6635812357115777,0.7087211390601627
theta_1,$1-n$,0.010000000000024269,0.731643662131608,0.13907623004568045,0.6648375854319025,0.7093564259504199
theta_1,$1-n$,0.011666666666681933,0.7314933069410737,0.13997018814585072,0.6660764746520302,0.7099703194767073
theta_1,$1-n$,0.013333333333339597,0.7313197823737801,0.14087660298458646,0.6672977940017435,0.7105627706868305
theta_1,$1-n$,0.01499999999999726,0.7311230793102238,0.14179554509359232,0.6685014357968067,0.7111337317244019
theta_1,$1-n$,0.016666666666654922,0.7309031889943275,0.14272708476824006,0.6696872940199612,0.7116831558087199
theta_1,$1-n$,0.018333333333312586,0.7306601030435881,0.14367129202098736,0.670855264305758,0.7122109972151094
theta_1,$1-n$,0.01999999999997025,0.7303938134611591,0.14462823653384602,0.6720052439240799,0.712717211256138
theta_1,$1-n$,0.021666666666627914,0.7301043126496644,0.1455979876097414,0.6731371317630529,0.7132017542638683
theta_1,$1-n$,0.023333333333363866,0.7297915934266724,0.1465806141226866,0.6742508283122629,0.71366458357298
theta_1,$1-n$,0.02500000000002153,0.7294556490419515,0.14757618446651197,0.6753462356457886,0.7141056575046705
theta_1,$1-n$,0.026666666666679193,0.7290964731962803,0.1485847665028328,0.6764232574058253,0.7145249353516966
theta_1,$1-n$,0.028333333333336857,0.7287140600621069,0.14960642750732134,0.6774817987858528,0.7149223773641561
theta_1,$1-n$,0.02999999999999452,0.728308404305834,0.1506412341149625,0.6785217665141248,0.7152979447363739
theta_1,$1-n$,0.03166666666665218,0.7278795011118158,0.15168925226400748,0.6795430688371642,0.7156515995947963
theta_1,$1-n$,0.033333333333309845,0.7274273462080499,0.1527505471386593,0.6805456155033082,0.7159833049869511
theta_1,$1-n$,0.03499999999996751,0.7269519358935614,0.15382518311048005,0.6815293177463,0.716293024871509
theta_1,$1-n$,0.036666666666703464,0.7264532670674518,0.1549132236785427,0.6824940882692597,0.7165807241093491
theta_1,$1-n$,0.03833333333336113,0.7259313372597699,0.15601473140800862,0.6834398412295705,0.7168463684550708
theta_1,$1-n$,0.04000000000001879,0.7253861446637678,0.15712976786795238,0.6843664922227981,0.7170899245507057
theta_1,$1-n$,0.041666666666676455,0.7248176881700583,0.1582583935672692,0.6852739582677226,0.7173113599197433
theta_1,$1-n$,0.04333333333333412,0.7242259674023668,0.159400667889633,0.686162157790942,0.7175106429626481
theta_1,$1-n$,0.04499999999999178,0.7236109827549261,0.1605566490270298,0.6870310106119816,0.7176877429534525
theta_1,$1-n$,0.046666666666649446,0.7229727354314831,0.16172639391191818,0.6878804379289929,0.7178426300374232
theta_1,$1-n$,0.04833333333330711,0.7223112274859104,0.1629099581480309,0.688710362304939,0.7179752752298524
theta_1,$1-n$,0.04999999999996477,0.7216264618644195,0.16410739593983065,0.6895207076541651,0.7180856504160196
theta_1,$1-n$,0.05166666666670072,0.7209184424493374,0.16531876002069187,0.6903113992292891,0.7181737283523771
theta_1,$1-n$,0.053333333333358386,0.7201871741046412,0.16654410157947877,0.6910823636080898,0.7182394826689824
theta_1,$1-n$,0.05500000000001605,0.7194326627227455,0.16778347018638912,0.6918335286808452,0.7182828878732851
theta_1,$1-n$,0.056666666666673714,0.7186549152732035,0.16903691371693907,0.6925648236372771,0.7183039193552345
theta_1,$1-n$,0.05833333333333138,0.7178539398526937,0.170304478274784,0.693276178954963,0.7183025533933989
theta_1,$1-n$,0.05999999999998904,0.7170297457361708,0.1715862081126957,0.6939675263921186,0.7182787671611577
theta_1,$1-n$,0.061666666666646705,0.7161823434300982,0.17288214555303102,0.6946387989738179,0.7182325387362803
theta_1,$1-n$,0.06333333333330436,0.7153117447267556,0.17419233090633807,0.6952899309832381,0.7181638471103517
theta_1,$1-n$,0.06499999999996203,0.714417962760116,0.17551680238889897,0.695920857951693,0.7180726721999765
theta_1,$1-n$,0.06666666666669799,0.7135010120630274,0.17685559603895976,0.6965315166496658,0.7179589948591458
theta_1,$1-n$,0.06833333333335564,0.7125609086259287,0.17820874563128644,0.6971218450787166,0.7178227968927846
theta_1,$1-n$,0.07000000000001332,0.7115976699564391,0.17957628259104044,0.6976917824645019,0.7176640610714496
theta_1,$1-n$,0.07166666666667097,0.7106113151406684,0.1809582359057644,0.698241269250147,0.7174827711473395
theta_1,$1-n$,0.07333333333332863,0.7096018649055956,0.18235463203646804,0.6987702470902076,0.7172789118715924
theta_1,$1-n$,0.0749999999999863,0.708569341682757,0.1837654948274866,0.6992786588448647,0.7170524690129552
theta_1,$1-n$,0.07666666666664396,0.7075137696731911,0.18519084541522302,0.6997664485741858,0.7168034293778727
theta_1,$1-n$,0.07833333333330163,0.7064351749136287,0.18663070213582164,0.7002335615322677,0.716531780832052
theta_1,$1-n$,0.08000000000003758,0.7053335853435204,0.18808508043145258,0.7006799441641273,0.7162375123227454
theta_1,$1-n$,0.08166666666669524,0.7042090308727456,0.189553992754372,0.7011055441086953,0.715920613900968
theta_1,$1-n$,0.08333333333335291,0.7030615434511015,0.19103744847217455,0.7015103101913026,0.7155810767477886
theta_1,$1-n$,0.08500000000001057,0.7018911571384667,0.19253545377023412,0.7018941924242518,0.7152188931999656
theta_1,$1-n$,0.08666666666666824,0.7006979081759204,0.19404801155388998,0.7022571420055068,0.714834056777501
theta_1,$1-n$,0.0883333333333259,0.699481835057711,0.19557512134945343,0.7025991113187646,0.7144265622122883
theta_1,$1-n$,0.08999999999998357,0.6982429786039777,0.197116779204168,0.702920053934862,0.7139964054778378
theta_1,$1-n$,0.09166666666664122,0.6969813820342007,0.1986729775852183,0.7032199246142469,0.7135435838201372
theta_1,$1-n$,0.09333333333329889,0.6956970910413559,0.20024370527788196,0.7034986793102478,0.7130680957896951
