key,label,b,F,G,H,S,a_H,tau_H,omega_0,T_0,G_4,ell_1,criticality,theta
theta_1,$1-n$,0.5,0.5,-1.0,0.0,0.0,1.5397978117457194,0.649435914489492,0.5754819626288791,10.918127265843658,-0.9617961341632889,-0.8356440311088768,supercritical,1
theta_2,$1-n^2$,0.5,0.75,-1.0,-2.0,0.0,2.524555833831924,0.3961092825117436,0.7578063673993192,8.291280698448816,-2.395097913542665,-1.580283576767962,supercritical,2
theta_3,$1-n^3$,0.5,0.875,-0.75,-3.0,-6.0,4.299828589618002,0.2325674103415458,0.8789371938649314,7.1486169330833205,-4.625084613854548,-2.6310666143941206,supercritical,3
theta_4,$1-n^4$,0.5,0.9375,-0.5,-3.0,-12.0,7.25215391374119,0.13789006850850563,0.9440121781011833,6.655830775210749,-6.097746975612103,-3.2296971993927603,supercritical,4
theta_5,$1-n^5$,0.5,0.96875,-0.3125,-2.5,-15.0,12.244248460179149,0.08167099869397527,0.9749446610891804,6.444658407750231,-6.333444615321175,-3.248104671010574,supercritical,5
theta_6,$1-n^6$,0.5,0.984375,-0.1875,-1.875,-15.0,20.9063550998425,0.0478323454865422,0.9888341849058995,6.3541343969388695,-5.678065254406426,-2.8710906950222235,supercritical,6
