key,label,b,F,G,H,S,a_H,tau_H,omega_0,T_0,G_4,ell_1,criticality
theta_1,$1-n$,0.5,0.5,-1.0,0.0,0.0,1.5397978117457194,0.649435914489492,0.5754819626288791,10.918127265843658,-0.9617961341632889,-0.8356440311088768,supercritical
theta_2,$1-n^2$,0.5,0.75,-1.0,-2.0,0.0,2.524555833831924,0.3961092825117436,0.7578063673993192,8.291280698448816,-2.395097913542665,-1.580283576767962,supercritical
theta_3,$1-n^3$,0.5,0.875,-0.75,-3.0,-6.0,4.299828589618002,0.2325674103415458,0.8789371938649314,7.1486169330833205,-4.625084613854548,-2.6310666143941206,supercritical
hyperlogistic,$(1-n)^2$,0.5,0.25,-1.0,2.0,0.0,0.5957439419765981,1.6785735104282131,0.3238994356305348,19.398568246802018,-0.15245620022180992,-0.23534496119918139,supercritical
