parameter,label,delta_a_H_minus20_pct,delta_a_H_plus20_pct,delta_tau_minus20_pct,delta_tau_plus20_pct,delta_omega_minus20_pct,delta_omega_plus20_pct,ell_1_min,ell_1_max
K,$K$,-42.012227793905986,49.79191116429147,72.45014973948396,-33.24072092896911,-6.54073030293042,2.5990358339095243,-2.926858506349435,-2.824394343681685
eps,$\varepsilon$,0.8822026964199203,-0.8777959221927478,-0.8744879402313388,0.8855694144005444,-9.958151139430871,8.810597322763503,-3.1767654984164064,-2.6646544892200485
beta,$\beta$,-42.01222779390602,49.791911164291406,72.45014973948408,-33.24072092896909,-6.5407303029304416,2.5990358339095243,-2.9268585063494332,-2.8243943436816847
gamma,$\gamma$,30.24728013433102,-21.38328926741435,-23.222964888890864,27.199419904693677,-8.18358448816503,5.4380946745927305,-3.2453331510135506,-2.691362424226107
alpha,$\alpha$,0.0,0.0,0.0,0.0,0.0,0.0,-2.93984582191163,-2.93984582191163
