memory_model,index,real,imag,modulus
Exponential,1,0.9999999999999943,0.0,0.9999999999999943
Exponential,2,0.3927227638084681,0.0,0.3927227638084681
Exponential,3,8.691755795458243e-09,0.0,8.691755795458243e-09
Humped,1,0.9999999999999936,0.0,0.9999999999999936
Humped,2,0.281396491608624,0.0,0.281396491608624
Humped,3,4.29090698934986e-14,0.0,4.29090698934986e-14
Humped,4,5.090075634649389e-15,0.0,5.090075634649389e-15
