time_days,exponential_kernel,humped_kernel
0.0,0.09,0.0
0.03706792697618386,0.08970025006938649,0.0011930141580962614
0.07413585395236771,0.0894014984723386,0.002370161187389361
0.11120378092855157,0.08910374188385163,0.0035315993628931034
0.14827170790473543,0.08880697698999512,0.004677485556245922
0.18533963488091929,0.08851120048787572,0.005807975247376467
0.22240756185710314,0.08821640908560065,0.0069232225360761025
0.25947548883328697,0.08792259950224086,0.008023380153479026
0.29654341580947086,0.0876297684677947,0.009108599473450756
0.33361134278565474,0.08733791272315139,0.01017903052388565
0.37067926976183857,0.0870470290200548,0.011234821997914209
0.4077471967380224,0.08675711412106735,0.012276121265020838
0.4448151237142063,0.08646816479953381,0.013303074382072774
0.48188305069039017,0.08618017783954564,0.01431582610426085
0.5189509776665739,0.08589315003590495,0.015314519895952802
0.5560189046427578,0.08560707819408898,0.016299297941459803
0.5930868316189417,0.08532195913021451,0.017270301155716865
0.6301547585951256,0.08503778967100241,0.0182276691948778
0.6672226855713095,0.08475456665374231,0.019171540466825426
0.7042906125474933,0.08447228692625748,0.020102052141597618
0.7413585395236771,0.0841909473468696,0.021019340161729946
0.778426466499861,0.08391054478436395,0.021923539252515428
0.8154943934760448,0.08363107611795446,0.022814782932182164
0.8525623204522287,0.08335253823724904,0.02369320352198943
0.8896302474284126,0.08307492804221488,0.024558932156242847
0.9266981744045965,0.08279824244314406,0.025412098792229307
0.9637661013807803,0.08252247836061903,0.02625283222007225
1.0008340283569641,0.0822476327254785,0.02708126007250789
1.0379019553331479,0.08197370247878309,0.027897508834583095
1.0749698823093319,0.08170068457178147,0.028701703853275383
1.1120378092855157,0.08142857596587628,0.02949396934703579
1.1491057362616997,0.08115737363259043,0.03027442841525514
1.1861736632378834,0.08088707455353329,0.031043203047654268
1.2232415902140672,0.08061767572036718,0.031800414133598916
1.2603095171902512,0.08034917413477383,0.03254618147133975
1.297377444166435,0.08008156680842106,0.033280623777178185
1.334445371142619,0.07981485076292945,0.034003858694558534
1.3715132981188027,0.0795490230298393,0.03471600280308708
1.4085812250949865,0.07928408065057745,0.03541717162747864
1.4456491520711705,0.0790200206764245,0.03610747964643124
1.4827170790473543,0.07875684016848189,0.036787040301429284
1.519785006023538,0.07849453619763921,0.03745596600547601
1.556852932999722,0.07823310584454166,0.038114368151755625
1.5939208599759058,0.07797254619955744,0.038762357122225734
1.6309887869520896,0.0777128543627455,0.03940004229614054
1.6680567139282736,0.07745402744382317,0.04002753205850551
1.7051246409044574,0.07719606256213404,0.04064493380846379
1.7421925678806414,0.07693895684661588,0.0412523539676152
1.7792604948568251,0.07668270743576869,0.04184989798826805
1.816328421833009,0.07642731147762284,0.04243767036162452
1.853396348809193,0.07617276612970734,0.04301577462590005
1.8904642757853767,0.07591906855901827,0.043584313374377126
1.9275322027615607,0.07566621594198708,0.04414338826339429
1.9646001297377444,0.07541420546444935,0.044693100020270465
2.0016680567139282,0.07516303432161334,0.0452335484511655
2.038735983690112,0.07491269971802886,0.045764832448877156
2.0758039106662958,0.07466319886755611,0.046287050000575126
2.11287183764248,0.07441452899333463,0.04680029819547267
2.1499397646186638,0.07416668732775256,0.04730467323243613
2.1870076915948475,0.0739196711124156,0.047800270427533105
2.2240756185710313,0.0736734775981165,0.048287184221519466
2.261143545547215,0.07342810404480438,0.048765508187265924
2.2982114725233993,0.07318354772155426,0.04923533503712451
2.335279399499583,0.07293980590653665,0.04969675663023542
2.372347326475767,0.07269687588698724,0.05014986397977482
2.4094152534519506,0.07245475495917678,0.05059474726014388
2.4464831804281344,0.07221344042838089,0.05103149581409971
2.4835511074043186,0.07197292960885011,0.05146019815982846
2.5206190343805024,0.07173321982378009,0.05188094199796118
2.557686961356686,0.07149430840528163,0.052293814218532804
2.59475488833287,0.07125619269435116,0.05269890090788475
2.6318228153090537,0.07101887004084101,0.05309628735551158
2.668890742285238,0.07078233780342999,0.05348605806085206
2.7059586692614217,0.07054659334959401,0.053868296740025245
2.7430265962376055,0.0703116340555767,0.05424308633251185
2.7800945232137892,0.07007745730636024,0.054610509007781395
