memory_model,rate_day_inv,mean_memory_days,period_days,N_min,N_max,N_amplitude,P_min,P_max,P_amplitude,dominant_nontrivial_multiplier,dominant_floquet_exponent_day_inv,shooting_residual
Exponential,0.09,11.11111111111111,158.24384460924466,1.4227050118462568,60.55703577025724,29.56716537920549,0.6201404835923101,2.28430721538989,0.83208336589879,0.3927227638084681,-0.005906399417680157,1.4210854715202004e-14
Humped,0.18,11.11111111111111,163.69972048807801,0.7934276603846235,65.3630272495155,32.28479979456544,0.5288310568628415,2.466858664054796,0.9690138035959772,0.281396491608624,-0.007745832419444848,1.5631940186722204e-13
