K,eps,alpha,beta,gamma,theta,b,a_H_dim,tau_mode_H,tau_mean_H,omega_0_dim,T_0,P_star,G_4,ell_1,applied_a_below_threshold,supercritical
87.97466690845722,0.18155230905135966,0.1097839014258735,0.0009219847006493869,0.017575722634522,2.0,0.2166864949620177,0.33991463737574484,2.94191508703578,5.88383017407156,0.05316663534722513,118.17910360783284,1.576076952101259,-1.9534048551116658,-3.335222923563934,True,True
95.13927522631109,0.13964053468244222,0.09138266688234153,0.000852811622452272,0.022584033763245054,2.0,0.2783482949415203,0.24774002667878817,4.0364894337263,8.0729788674526,0.050676966825193126,123.98503108627283,1.4096929033503383,-1.9164096954264669,-2.640336343166176,True,True
83.17898125277229,0.15574014587890284,0.11369558845359508,0.0009161837959492708,0.018011543798862995,2.0,0.23634952572575024,0.2872865244908553,3.480845479168416,6.961690958336832,0.04925319917967964,127.56908001565584,1.29328087640832,-1.9435279734266522,-3.0727479142722767,True,True
74.74243055658278,0.1287617970855287,0.09748459678351432,0.0009982435012389768,0.01602867245109594,2.0,0.21482946453457538,0.3195007302114243,3.129883300542902,6.259766601085804,0.04317392614491577,145.53194180417395,1.259883360630702,-2.0051191335810516,-2.9900308596428,True,True
73.5284349376057,0.12524912920045023,0.11131565392918116,0.0010021241895630307,0.016476533297444945,2.0,0.22360884219620045,0.3006533591946631,3.326089562673182,6.652179125346364,0.042946984524098036,146.30096563948558,1.0689112808860217,-2.0010109044160247,-2.9178401705722083,True,True
94.54238720248642,0.185206251938924,0.12157127655495717,0.001146474573119242,0.023909606866144018,2.0,0.22058777695019213,0.44961809416927134,2.224109778872738,4.448219557745476,0.06302629785505248,99.6914862686306,1.4493086851403267,-2.00250245731629,-2.942231951105344,True,True
89.23383384172854,0.1468416214296077,0.09106329394309871,0.0011007912258281206,0.019139958493193627,2.0,0.19485272331295792,0.47388833729403657,2.110201752822466,4.220403505644932,0.05110098646000084,122.95624296994214,1.5512990333239574,-2.032107605346933,-2.919688995848947,True,True
76.38892718812083,0.1718864941001944,0.12248715703676792,0.0009102903808592436,0.02120180620032078,2.0,0.3049035606784753,0.17633635387231256,5.670980362473146,11.341960724946292,0.0508296989887004,123.61248309922823,1.2728425321960672,-1.6088776237793727,-2.7203026939935704,False,True
93.82736699220376,0.18518515486467127,0.10719386718682888,0.0009095641308488156,0.019979905263012326,2.0,0.2341157168246455,0.3245663295068886,3.081034318992032,6.162068637984064,0.056519544000733044,111.1683651782133,1.6328837633061972,-1.9312250930816968,-3.1638101851656373,True,True
77.81515550884754,0.13301870923656686,0.11310015276114288,0.0010126040897484685,0.021720456946032935,2.0,0.2756545025919312,0.24433242738152167,4.092784616094015,8.18556923218803,0.048697868226828776,129.02382662652232,1.0867467971412539,-1.9298103933845574,-2.635648098635894,True,True
91.72740097163847,0.12411293105152509,0.10236122279151054,0.0011849258725166061,0.02027468275208622,2.0,0.18653648839235748,0.55379687923915,1.8057162065880168,3.6114324131760336,0.048714783481757465,128.9790256284828,1.1703095315310654,-2.053922251384279,-2.6164368652763397,True,True
79.95159801619873,0.1466002763193383,0.1168899842346586,0.0010559271344271512,0.023292298493530494,2.0,0.2758997127176098,0.26085751243714084,3.8335104504263464,7.667020900852693,0.05283529186275925,118.92023467004381,1.1587046457907406,-1.9184087296276144,-2.6614715272829734,True,True
81.95322695839296,0.13849616330242814,0.11547479431394152,0.0009000745926518725,0.0195587466891967,2.0,0.26515294836509806,0.23955640184033883,4.174382284579841,8.348764569159682,0.04734429063995007,132.71262959588432,1.1150402206464356,-1.91298353548953,-2.798023547769156,True,True
76.08924730671178,0.1639780678599193,0.0918056961424437,0.000968883810674823,0.02080214431651214,2.0,0.2821714811259614,0.21514085346570688,4.648117658227095,9.29623531645419,0.05146050079555942,122.09724371205047,1.6439286265887596,-1.785924758153375,-2.845410427976778,True,True
91.00268310932343,0.15310027596356676,0.11183655993429258,0.001040523655459985,0.02143021359943448,2.0,0.2263186503755195,0.38144165277589664,2.621632935791406,5.243265871582812,0.054138156848397984,116.05835279494768,1.2988459210492234,-2.008136409205682,-2.839459785108788,True,True
81.09790576748738,0.17478570660560414,0.1222283569046249,0.0010324160583937644,0.02083292871789674,2.0,0.248820373410246,0.29441666200677646,3.396546897800857,6.793093795601714,0.055434742675987005,113.34381660079953,1.3414599673183332,-1.9126703350430083,-3.0153241439946625,True,True
81.44064083317164,0.15807763733980698,0.08435057016593123,0.001068674592879411,0.023929095839516475,2.0,0.2749410724419687,0.2692547121700029,3.7139554288231613,7.427910857646323,0.05550437839589154,113.20161559803488,1.7323906465675318,-1.9028161395963965,-2.709630197945929,True,True
73.49177023047125,0.12936649387532492,0.11088591074071895,0.0009700020078034517,0.021630502375268073,2.0,0.3034277274483677,0.19023103310136372,5.256765858318998,10.513531716637996,0.04617635925003085,136.06930925753718,1.0592502584414833,-1.8188225275901033,-2.5477830777188317,True,True
77.90474625290322,0.12589219009564523,0.12210095454634606,0.0008224530950064144,0.017145798769851516,2.0,0.2675978783229591,0.20465828248593454,4.886193648521049,9.772387297042098,0.04203744464502321,149.46639502559415,0.9572179346508453,-1.8897577558603456,-2.8296884437724272,True,True
75.86448661687255,0.13845782937136467,0.10413361379023306,0.0009270209857851557,0.01719478145540255,2.0,0.2444942057822508,0.2541679468579776,3.934406412618086,7.868812825236172,0.04513664681286125,139.20363498046234,1.2501359866111936,-1.9394939893420413,-2.974723941684015,True,True
95.16047750957993,0.13883998587355795,0.10967982177628009,0.0008257100839759328,0.02304189068685281,2.0,0.29324722486453764,0.22166856805505403,4.511239499465879,9.022478998931758,0.050113124825591125,125.38003425344112,1.1570094399584294,-1.8658914553999781,-2.5847554329423086,True,True
75.97160248101775,0.1431375115633741,0.10705957857544095,0.001062615579245254,0.019239222500400614,2.0,0.23831975909530947,0.303459785683364,3.2953295532984392,6.5906591065968785,0.04901697936044156,128.1838536189021,1.2610532492982893,-1.9767571292064026,-2.886225346110503,True,True
87.53173734393995,0.15480679927826407,0.09830661770018832,0.0008432298630895594,0.023773933586147277,2.0,0.32209910488305216,0.174721356222226,5.723398796928476,11.446797593856951,0.05069458470455396,123.94194259204889,1.4113589960534405,-1.6379708828566617,-2.5009478937821714,False,True
84.71615686851787,0.17102167461136558,0.08801904173058694,0.0010659086840924669,0.020132874391614722,2.0,0.22295619172145828,0.36807148942550416,2.7168635135550074,5.433727027110015,0.05530351951946843,113.61275668843687,1.8464218166508648,-1.980548766787212,-3.06234367802022,True,True
85.77125166350703,0.12843923585047817,0.09226727452039514,0.001070253999548805,0.021077123011684108,2.0,0.2296057304659777,0.36530886810131913,2.7374095931409146,5.474819186281829,0.049280330770317245,127.49884607032921,1.3186481901894638,-2.0316324494827374,-2.647519966503242,True,True
91.38435441756116,0.1496282116720967,0.11455709958546498,0.0010120266625878254,0.016729822635284445,2.0,0.18089540451471428,0.48478048301772264,2.06278931399027,4.12557862798054,0.04847576199679729,129.61498795201416,1.263404068136211,-2.0266004511130213,-3.127713611742092,True,True
