metric,label,unit,nominal,p2_5,p25,median,p75,p97_5
a_H_dim,$a_{\mathrm H}^{\mathrm{dim}}$,day$^{-1}$,0.35329120389565033,0.13980743424060305,0.2567807971707506,0.34662532323463846,0.4583523320389731,0.708328150559508
tau_mode_H,"$\tau_{\mathrm{mode,H}}$",days,2.83052617493235,1.4117750401281357,2.1817277518225975,2.884959444646989,3.894372209585972,7.152695531790263
tau_mean_H,"$\tau_{\mathrm{mean,H}}$",days,5.6610523498647,2.8235500802562714,4.363455503645195,5.769918889293978,7.788744419171944,14.305391063580526
omega_0_dim,$\omega_0^{\mathrm{dim}}$,day$^{-1}$,0.05242805155845166,0.04378353678972644,0.04847578816086652,0.05129897316468682,0.05416901620609958,0.0594736214533477
T_0,$T_0$,days,119.84395987278886,105.64659019625411,115.99223591903956,122.48169738263758,129.61491799430874,143.50565916744608
P_star,$P^*$,count units,1.4238222760365966,1.031369379489331,1.2579368778446642,1.4148709094027343,1.596271466438544,1.942520724712352
ell_1,$\ell_1(0)$,--,-2.93984582191163,-3.3685499768733242,-3.069812844252808,-2.8956175128754014,-2.7264372708282685,-2.3690296146351613
