key,label,a_over_a_H,a,n_min,n_max,prey_amplitude,T_num,T_num_over_T_0
theta_1,$1-n$,0.94,1.4474099430409761,0.26904364604893005,0.7320597909714459,0.23150807246125793,11.61727826444635,1.0640357985924858
theta_2,$1-n^2$,0.94,2.3730824838020084,0.33348398746027963,0.6762210961049241,0.17136855432232223,8.632809595842991,1.0411913321735773
theta_3,$1-n^3$,0.94,4.041838874240922,0.38106495628831444,0.6289807253859175,0.12395788454880155,7.305745462433469,1.0219802698649256
hyperlogistic,$(1-n)^2$,0.94,0.5599993054580021,0.08780344239745796,0.8170475969837871,0.3646220772931646,23.032907703808405,1.1873509122306247
