parameter,label,nominal_value,S_a_H_dim,S_tau_mode_H,S_omega_0_dim,S_P_star
K,$K$,88.206925,2.289167226824691,-2.2891672275773414,0.19181218061078398,0.10839430397079726
eps,$\varepsilon$,0.154743,-0.04400086977403011,0.04400086976869866,0.4665039384567765,0.9999999999999643
beta,$\beta$,0.001,2.289167226824691,-2.2891672275773414,0.19181218061078398,0.10839430397079726
gamma,$\gamma$,0.02,-1.2451663571246514,1.2451663570545974,0.34168388103872643,-0.1083943039552023
alpha,$\alpha$,0.103094,0.0,0.0,0.0,-1.0000000001013316
